age,sex,race_ethnicity,household_income,n
18,1,1,above_median,1
18,1,1,below_median,1
18,1,2,above_median,1
18,1,2,below_median,1
18,1,3,above_median,1
18,1,3,below_median,1
18,1,4,above_median,1
18,1,4,below_median,1
18,1,5,above_median,1
18,1,5,below_median,1
18,2,1,above_median,1
18,2,1,below_median,1
18,2,2,above_median,1
18,2,2,below_median,1
18,2,3,above_median,1
18,2,3,below_median,1
18,2,4,above_median,1
18,2,4,below_median,1
18,2,5,above_median,1
18,2,5,below_median,1
19,1,1,above_median,1
19,1,1,below_median,1
19,1,2,above_median,1
19,1,2,below_median,1
19,1,3,above_median,1
19,1,3,below_median,1
19,1,4,above_median,1
19,1,4,below_median,1
19,1,5,above_median,1
19,1,5,below_median,1
19,2,1,above_median,1
19,2,1,below_median,1
19,2,2,above_median,1
19,2,2,below_median,1
19,2,3,above_median,1
19,2,3,below_median,1
19,2,4,above_median,1
19,2,4,below_median,1
19,2,5,above_median,1
19,2,5,below_median,1
20,1,1,above_median,1
20,1,1,below_median,1
20,1,2,above_median,1
20,1,2,below_median,1
20,1,3,above_median,1
20,1,3,below_median,1
20,1,4,above_median,1
20,1,4,below_median,1
20,1,5,above_median,1
20,1,5,below_median,1
20,2,1,above_median,1
20,2,1,below_median,1
20,2,2,above_median,1
20,2,2,below_median,1
20,2,3,above_median,1
20,2,3,below_median,1
20,2,4,above_median,1
20,2,4,below_median,1
20,2,5,above_median,1
20,2,5,below_median,1
21,1,1,above_median,1
21,1,1,below_median,1
21,1,2,above_median,1
21,1,2,below_median,1
21,1,3,above_median,1
21,1,3,below_median,1
21,1,4,above_median,1
21,1,4,below_median,1
21,1,5,above_median,1
21,1,5,below_median,1
21,2,1,above_median,1
21,2,1,below_median,1
21,2,2,above_median,1
21,2,2,below_median,1
21,2,3,above_median,1
21,2,3,below_median,1
21,2,4,above_median,1
21,2,4,below_median,1
21,2,5,above_median,1
21,2,5,below_median,1
22,1,1,above_median,1
22,1,1,below_median,1
22,1,2,above_median,1
22,1,2,below_median,1
22,1,3,above_median,1
22,1,3,below_median,1
22,1,4,above_median,1
22,1,4,below_median,1
22,1,5,above_median,1
22,1,5,below_median,1
22,2,1,above_median,1
